,上古汉语,革家,湘西,黔东,川黔滇,滇东北,布努,巴哼,优诺,炯奈,畲,勉语勉方言,勉语标敏方言,勉语藻敏方言
上古汉语,0,17,13,14,19,18,16,12,14,15,15,12,12,12
革家,17,0,58,62,70,68,67,60,61,64,64,55,53,50
湘西,13,58,0,68,68,69,66,64,59,63,63,50,47,46
黔东,14,62,68,0,73,73,75,65,55,66,66,54,50,52
川黔滇,19,70,68,73,0,84,77,65,54,64,63,56,52,53
滇东北,18,68,69,73,84,0,76,66,57,62,65,57,52,53
布努,16,67,66,75,77,76,0,65,59,64,63,56,51,51
巴哼,12,60,64,65,65,66,65,0,64,63,58,49,47,48
优诺,14,61,59,55,54,57,59,64,0,57,57,45,43,44
炯奈,15,64,63,66,64,62,64,63,57,0,60,53,48,50
畲,15,64,63,66,63,65,63,58,57,60,0,53,50,50
勉语勉方言,12,55,50,54,56,57,56,49,45,53,53,0,64,67
勉语标敏方言,12,53,47,50,52,52,51,47,43,48,50,64,0,61
勉语藻敏方言,12,50,46,52,53,53,51,48,44,50,50,67,61,0
