Xizang,1069.23
Qinghai,2788.91
Hainan,3039.46
Ningxia,3093.92
Shanghai,6012.97
Beijing,6873.44
Gansu,7759.62
Guizhou,8778.4
Xinjiang,9058.31
Heilongjiang,9587.09
Tianjin,10490.37
Yunnan,11073.86
Jilin,11254.84
Shanxi2,11976.96
Chongqing,12136.52
Guangxi,13287.6
Jiangxi,14677.04
Shanxi1,16840.44
Neimenggu,17431.05
Fujian,17911.71
National Average,18336.16
Hunan,20575.33
Anhui,21069.24
Hubei,22491.67
Sichuan,22662.26
Zhejiang,23554.76
Liaoning,24426.83
Guangdong,25843.06
Hebei,26147.2
Henan,30012.28
Jiangsu,41552.75
Shandong,41599.13
