"","…œπ≈∫∫”Ô","∏Ôº“","œÊŒ˜","«≠∂´","¥®«≠µ·","µ·∂´±±","≤º≈¨","∞Õ∫ﬂ","”≈≈µ","æºƒŒ","Ó¥","√„”Ô√„∑Ω—‘","√„”Ô±Í√Ù∑Ω—‘"
"…œπ≈∫∫”Ô",164.006097447625,0,0,0,0,0,0,0,0,0,0,0,0
"∏Ôº“",159.996874969482,82.975900115636,0,0,0,0,0,0,0,0,0,0,0
"œÊŒ˜",171.359271707136,89.3196506934504,97.3806962390391,0,0,0,0,0,0,0,0,0,0
"«≠∂´",180.124956627337,102.30835742988,99.6794863550169,104.379116685283,0,0,0,0,0,0,0,0,0
"¥®«≠µ·",180.197114294319,99.1917335265394,100.816665289028,104.254496305915,118.903322073019,0,0,0,0,0,0,0,0
"µ·∂´±±",175.462246651523,96.752260955494,95.1840322743264,106.503521068554,109.444049632678,107.879562475939,0,0,0,0,0,0,0
"≤º≈¨",157.171880436674,86.1684396980704,90.9945053286186,94.2920993509,96.8090904822476,97.9591751700677,94.8050631559307,0,0,0,0,0,0
"∞Õ∫ﬂ",141.513250263005,91.0604195026577,87.4471268824768,85.8020978764505,88.1192374002408,92.6012958872607,93.0644937664199,92.9784921366226,0,0,0,0,0
"”≈≈µ",158.189759466282,91.5860251348425,89.9499861033897,95.4882191686493,95.0105257326787,91.7442096265481,93.2362590412121,89.7607932228765,83.2466215530696,0,0,0,0
"æºƒŒ",157.403938959608,91.4330356052997,90.0832947887676,95.6242647030554,93.3648756224738,96.2652585307908,91.8422560698505,82.7707677867011,83.6660026534076,85.0881895447306,0,0,0
"Ó¥",141.908421173657,87.5785361832453,83.3366666000027,90.7193474403338,96.4313227120732,98.0153049273429,95.0210502993942,80.7650914690252,73.5662966309981,84.308955633432,83.3186653757728,0,0
"√„”Ô√„∑Ω—‘",130.349530110392,88.8313007897554,83.0541991713845,90.6256034462668,97.0257697727774,97.066987178958,93.6482781475452,81.6455755078008,71.3932769944061,80.3554602998452,82.3346828499388,91.4603739331958,0
"√„”Ô±Í√Ù∑Ω—‘",132.619757200803,84.0951841665146,81.0123447383175,92.887028157865,97.9030132324843,97.86214794291,92.9569792968769,82.8432254321378,73.6070648783118,83.1865373723417,82.2435407798084,95.4044024141444,86.4465152565446
